DiseaseID,DiseaseName,disease_index
MESH:D007057,Ichthyosis,504
MESH:D016483,"Lymphoma, AIDS-Related",505
MESH:D009402,"Nephrosis, Lipoid",506
MESH:D012128,Respiratory Distress Syndrome,507
MESH:D000435,Alcoholic Intoxication,508
MESH:D000437,Alcoholism,509
MESH:D005235,"Fatty Liver, Alcoholic",510
MESH:D008104,"Liver Cirrhosis, Alcoholic",511
MESH:D000787,Angina Pectoris,512
MESH:D000075222,Essential Hypertension,513
MESH:D013614,"Tachycardia, Paroxysmal",514
MESH:D001172,"Arthritis, Rheumatoid",515
MESH:D017116,Low Back Pain,516
MESH:D001018,Aortic Diseases,517
MESH:D004617,Embolism,518
MESH:D012214,Rheumatic Heart Disease,519
MESH:D013921,Thrombocytopenia,520
MESH:D013923,Thromboembolism,521
MESH:D054556,Venous Thromboembolism,522
MESH:D020246,Venous Thrombosis,523
MESH:D010939,Plant Poisoning,524
MESH:D015746,Abdominal Pain,525
MESH:D020751,Alcohol-Induced Disorders,526
MESH:D000799,Angioedema,527
MESH:D015210,"Arthritis, Gouty",528
MESH:D003424,Crohn Disease,529
MESH:D005094,Exophthalmos,530
MESH:D005157,Facial Pain,531
MESH:D006941,Hyperesthesia,532
MESH:D000084462,Hyperthermia,533
MESH:D015878,Mydriasis,534
MESH:D009459,Neuroleptic Malignant Syndrome,535
MESH:D020250,Postoperative Nausea and Vomiting,536
MESH:D010149,Postoperative Pain,537
MESH:D011595,Psychomotor Agitation,538
MESH:D051437,Renal Insufficiency,539
MESH:D012141,Respiratory Tract Infections,540
MESH:D012852,Sinusitis,541
MESH:D055009,Spondylosis,542
MESH:D000755,"Anemia, Sickle Cell",543
MESH:D001416,Back Pain,544
MESH:D013130,Spinal Stenosis,545
MESH:D004660,Encephalitis,546
MESH:D010900,Pituitary Diseases,547
MESH:D000471,Alkalosis,548
MESH:D000532,Altitude Sickness,549
MESH:D002524,Cerebellar Ataxia,550
MESH:D002543,Cerebral Hemorrhage,551
MESH:D006259,Craniocerebral Trauma,552
MESH:C535506,"Episodic Ataxia, Type 2",553
MESH:D005131,Eye Injuries,554
MESH:D015812,"Glaucoma, Angle-Closure",555
MESH:D006261,Headache,556
MESH:D051270,"Headache Disorders, Primary",557
MESH:D006849,Hydrocephalus,558
MESH:D020514,Hypokalemic Periodic Paralysis,559
MESH:C531795,Idiopathic intracranial hypertension with papilledema,560
MESH:D007235,"Infant, Premature, Diseases",561
MESH:D019586,Intracranial Hypertension,562
MESH:D020190,"Myoclonic Epilepsy, Juvenile",563
MESH:D009222,Myotonia,564
MESH:D009224,Myotonia Congenita,565
MESH:D020967,Myotonic Disorders,566
MESH:D010211,Papilledema,567
MESH:D011559,Pseudotumor Cerebri,568
MESH:C535833,Pulmonary edema of mountaineers,569
MESH:D015356,Retinal Artery Occlusion,570
MESH:D020182,"Sleep Apnea, Central",571
MESH:D015354,"Vision, Low",572
MESH:D014973,Xanthomatosis,573
MESH:D009401,Nephrosis,574
MESH:D052878,Urolithiasis,575
MESH:D009497,Neurotic Disorders,576
MESH:D010259,Paranoid Disorders,577
MESH:D012561,"Schizophrenia, Childhood",578
MESH:D002310,"Cardiomyopathy, Alcoholic",579
MESH:D018908,Muscle Weakness,580
MESH:D061205,Vascular Calcification,581
MESH:D020964,Embryo Loss,582
MESH:D005313,Fetal Death,583
MESH:D006319,"Hearing Loss, Sensorineural",584
MESH:D000748,"Anemia, Macrocytic",585
MESH:D000789,"Angina, Unstable",586
MESH:D001167,Arteritis,587
MESH:D001714,Bipolar Disorder,588
MESH:D002869,Chromosome Aberrations,589
MESH:D015834,Cochlear Diseases,590
MESH:D003161,Compartment Syndromes,591
MESH:D003645,"Death, Sudden",592
MESH:D003711,Demyelinating Diseases,593
MESH:D003925,Diabetic Angiopathies,594
MESH:D004211,Disseminated Intravascular Coagulation,595
MESH:D004342,Drug Hypersensitivity,596
MESH:D062787,Drug Overdose,597
MESH:D004427,Ear Diseases,598
MESH:D020031,Epstein-Barr Virus Infections,599
MESH:D005317,Fetal Growth Retardation,600
MESH:D005767,Gastrointestinal Diseases,601
MESH:D006311,Hearing Disorders,602
MESH:D006402,Hematologic Diseases,603
MESH:D006501,Hepatic Encephalopathy,604
MESH:D006959,Hyperoxaluria,605
MESH:D007232,"Infant, Newborn, Diseases",606
MESH:D019190,Iron Overload,607
MESH:D007964,Leukocytosis,608
MESH:D017093,Liver Failure,609
MESH:D017114,"Liver Failure, Acute",610
MESH:D003865,Major Depressive Disorder,611
MESH:D008581,Meningitis,612
MESH:D009205,Myocarditis,613
MESH:D011488,Protein Deficiency,614
MESH:D011656,Pulmonary Emphysema,615
MESH:D012798,Sialorrhea,616
MESH:D012877,Skin Manifestations,617
MESH:D001744,Urinary Bladder Calculi,618
MESH:D014125,"Toxoplasmosis, Congenital",619
MESH:D014126,"Toxoplasmosis, Ocular",620
MESH:D015535,"Arthritis, Psoriatic",621
MESH:D010214,Papillon-Lefevre Disease,622
MESH:D014062,Tongue Neoplasms,623
MESH:D006029,Glycosuria,624
MESH:D002819,Chorea,625
MESH:D014947,Wounds and Injuries,626
MESH:D002056,Burns,627
MESH:D016470,Bacteremia,628
MESH:D005585,Influenza in Birds,629
MESH:D007710,Klebsiella Infections,630
MESH:D009503,Neutropenia,631
MESH:D014766,Viremia,632
MESH:D014901,West Nile Fever,633
MESH:D000163,Acquired Immunodeficiency Syndrome,634
MESH:D000386,AIDS-Related Complex,635
MESH:D017088,AIDS-Related Opportunistic Infections,636
MESH:D003586,Cytomegalovirus Infections,637
MESH:D020803,"Encephalitis, Herpes Simplex",638
MESH:D018792,"Encephalitis, Viral",639
MESH:D005155,Facial Nerve Diseases,640
MESH:D006558,Herpes Genitalis,641
MESH:D006566,Herpesviridae Infections,642
MESH:D006562,Herpes Zoster,643
MESH:D006563,Herpes Zoster Ophthalmicus,644
MESH:D016697,Herpes Zoster Oticus,645
MESH:D056784,Leukoencephalopathies,646
MESH:D008590,Meningoencephalitis,647
MESH:D015882,"Retinal Necrosis Syndrome, Acute",648
MESH:D007565,Jaundice,649
MESH:D008105,"Liver Cirrhosis, Biliary",650
MESH:D006099,Granuloma,651
MESH:D001282,Atrial Flutter,652
MESH:D006977,"Hypertension, Renal",653
MESH:D013617,"Tachycardia, Supraventricular",654
MESH:D018287,"Carcinoma, Large Cell",655
MESH:D004890,Erythema,656
MESH:D007642,Keratosis,657
MESH:D008575,Meniere Disease,658
MESH:D000857,Olfaction Disorders,659
MESH:D013611,"Tachycardia, Atrioventricular Nodal Reentry",660
MESH:D000379,Agoraphobia,661
MESH:D016584,Panic Disorder,662
