ChemicalID,ChemicalName,drug_index
C585912,"2,4-dihydroxy-N-(4-hydroxyphenyl)benzamide",267
C568959,"2-(4-((dimethylamino)carbonyl)-3-fluorophenyl)-alpha,alpha-dimethyl-N-1,3,4-thiadiazol-2-yl-5H-(1)benzopyrano(2,3-b)pyridin-5-acetamide",268
C543150,"2-(4-((dimethylamino)methyl)benzylidene)-5,6-dimethoxy-2,3-dihydroinden-1-one",269
D019297,"2,4-Dinitrophenol",270
C000590645,"2,4-dinitrophenol methyl ether",271
C063918,"2-(4-hydroxy-3,5-dimethylphenyl)-5-methoxy-3-methylindole",272
C439584,2-(4-hydroxyphenyl)-3-methyl-1-(4-(2-piperidin-1-yl-ethoxy)-benzyl)-1H-indol-5-ol,273
C559491,2-(4-isobutylphenyl)propionic acid 4-(diethoxyphosphoryloxy)butyl ester,274
C000592767,"2-(4'-methoxybenzenesulfonyl)-2,3,4,9-tetrahydro-1H-pyrido(3,4-b)indole-3-carboxylic acid amide",275
C000589286,2-(4-methoxyphenyl)ethyl-2-acetamido-2-deoxyglucopyranoside,276
C405143,24-methylenecycloartenol,277
C071738,2-(4-morpholino)ethyl-1-phenylcyclohexane-1-carboxylate,278
C085911,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,279
C081331,24-norursodeoxycholic acid,280
C079315,2-(4-(quinolin-2-yl-methoxy)phenyl)-2-cyclopentylacetic acid,281
C477861,"(2-(5-amino-2-(4-fluorophenyl)-1,6-dihydro-6-oxo-1-pyrimidinyl)-N-(1-((5-methoxycarbonyl-2-benzoxazolyl)carbonyl)-2-phenylethyl)acetamide)",282
C552046,"2,5-bis(2-(2-propoxy)-4-(2-pyridylimino)aminophenyl)furan",283
C555559,"2,5-di-(2-phenethyl)pyrrolidine",284
C021008,"2',5'-dideoxyadenosine",285
C572639,"2,5-dihydroxy-1,4-dithiane-2,5-dicarboxylic acid",286
C010925,"2,5-dihydroxybenzoic acid",287
C003943,"2,5-dimethoxy-4-bromoamphetamine",288
C020617,"2,5-dimethyl-4-benzoquinone",289
C506698,"2,5-dimethylcelecoxib",290
C011269,"2,5-hexanedione",291
C007997,25-hydroxycholesterol,292
C529607,25-hydroxyprotopanaxadiol,293
C104450,25-hydroxyvitamin D,294
C023505,"2',5'-oligoadenylate",295
C570401,"2-(6-((3,4-dihydro-2H-chromen-2-ylmethyl)amino)hexyl)tetrahydro-1H-pyrrolo(1,2-c)imidazole-1,3(2H)-dione",296
C469683,"2-(6-((3-(4-(diphenylmethoxy)piperidino)propyl)amino)imidazo(1,2-b)pyridazin-2-yl)-2-methylpropionic acid",297
D015086,"2,6-Dichloroindophenol",298
C556138,"2,6-diisopropyl-4-(1-hydroxy-2,2,2-trifluoroethyl)phenol",299
C438607,"2,6-di-tert-butyl-4-(3-hydroxy-2,2-dimethylpropyl)phenol",300
C070898,"2,6-dithiopurine",301
C477642,"2-(7-(3,4-dimethoxyphenyl)imidazo(1,2-c)pyrimidin-5-ylamino)nicotinamide",302
